PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,NumberofBuildings,NumberofFloors,PrimaryPropertyType,LargestPropertyUseType,LargestPropertyUseTypeGFA,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,SiteEnergyUse(kBtu)
150453.0,115718.0,34735,1.0,7,Hotel,Hotel,107547.0,7,LAKE UNION,47.62001,-122.34274,2000,6715187.0
116300.0,88100.0,28200,1.0,6,Hotel,Hotel,88490.0,7,LAKE UNION,47.62025,-122.34314,1997,5827595.5
155602.0,118858.0,36744,1.0,6,Hotel,Hotel,155602.0,7,MAGNOLIA / QUEEN ANNE,47.62023,-122.35951,1998,6836900.0
56072.0,56072.0,0,1.0,3,K-12 School,K-12 School,56072.0,3,EAST,47.63442,-122.30793,1911,3234787.75
122942.0,78051.0,44891,1.0,4,Hotel,Hotel,78051.0,7,MAGNOLIA / QUEEN ANNE,47.62519,-122.34456,1999,5337334.0
54984.0,54984.0,0,1.0,2,Small- and Mid-Sized Office,Office,54984.0,3,CENTRAL,47.60823,-122.30956,1962,3375211.0
217603.0,196071.25,0,1.0,5,Senior Care Community,Senior Care Community,192159.375,1,SOUTHWEST,47.55837,-122.37751,1922,16336999.203125
93397.0,93397.0,0,1.0,2,Senior Care Community,Senior Care Community,93397.0,5,NORTHWEST,47.72426,-122.35599,1970,16336999.203125
84103.0,63371.0,20732,1.0,6,Hotel,Hotel,63371.0,7,LAKE UNION,47.61988,-122.33211,2008,3706100.25
179014.0,179014.0,0,0.0,3,Medical Office,Medical Office,179014.0,3,EAST,47.61244,-122.3214,1965,16336999.203125
76631.0,76631.0,0,1.0,7,Hotel,Hotel,76631.0,3,EAST,47.60898,-122.32693,1908,7258758.5
99780.0,90439.0,9341,1.0,6,Mixed Use Property,Medical Office,40174.0,3,EAST,47.60845,-122.32637,1983,15473117.0
58320.0,58320.0,0,1.0,2,Retail Store,Retail Store,72072.0,7,LAKE UNION,47.62237,-122.33805,1929,1049748.625
