PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,NumberofBuildings,NumberofFloors,PrimaryPropertyType,LargestPropertyUseType,LargestPropertyUseTypeGFA,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,SiteEnergyUse(kBtu),HasParking,BuildingAge,ParkingRatio,AreaPerFloor,BuildingDensity,GeoCluster
224864.625,196071.25,118744,1.0,20,Large Office,Office,192159.375,7,DOWNTOWN,47.61695,-122.32965,1988,16336999.203125,1,28,0.5280688325253472,9803.5625,4.447120128388358e-06,2.0
224864.625,196071.25,116721,1.0,24,Large Office,Office,192159.375,7,DOWNTOWN,47.61431,-122.34244,1979,16336999.203125,1,37,0.5190723085056176,8169.635416666667,4.447120128388358e-06,2.0
109347.0,70647.0,38700,1.0,4,Mixed Use Property,Laboratory,42389.0,7,DOWNTOWN,47.6177,-122.3545,1980,8218155.5,1,36,0.35391917473730417,17661.75,9.14519831362543e-06,0.0
224864.625,196071.25,124216,1.0,6,Large Office,Office,192159.375,7,DOWNTOWN,47.6182,-122.352,1982,16336999.203125,1,34,0.5524034738678882,32678.541666666668,4.447120128388358e-06,0.0
224864.625,196071.25,83591,1.0,6,Large Office,Office,191814.0,7,DOWNTOWN,47.61598,-122.34369,2002,14913424.0,1,14,0.37173921865211124,32678.541666666668,4.447120128388358e-06,2.0
192630.0,144118.0,48512,1.0,3,Large Office,Office,146157.0,7,DOWNTOWN,47.61734,-122.34434,1947,5357833.0,1,69,0.25184031563100245,48039.333333333336,5.191299382235374e-06,2.0
224864.625,191117.0,61986,1.0,8,Large Office,Office,158681.0,7,DOWNTOWN,47.6176,-122.35686,1984,16336999.203125,1,32,0.2756591882782808,23889.625,4.447120128388358e-06,0.0
60880.0,60880.0,0,1.0,1,Supermarket / Grocery Store,Supermarket/Grocery Store,61666.0,6,NORTHWEST,47.7019,-122.36374,1956,14293972.0,0,60,0.0,60880.0,1.6425755584756898e-05,4.0
50176.0,50176.0,0,1.0,5,Small- and Mid-Sized Office,Office,50328.0,7,DOWNTOWN,47.60227,-122.33202,1900,2933288.75,0,116,0.0,10035.2,1.992984693877551e-05,2.0
224864.625,196071.25,0,1.0,42,Large Office,Office,192159.375,7,DOWNTOWN,47.60198,-122.33174,1912,16336999.203125,0,104,0.0,4668.363095238095,4.447120128388358e-06,2.0
